GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
SuperApiForSensors,org.sas.security,SecurityConfig,63,0,2,0,17,0,5,0,4,0
SuperApiForSensors,org.sas.security.auth_register,AuthController,243,0,16,0,42,0,13,0,5,0
SuperApiForSensors,org.sas.security.auth_register,AuthRequest,17,0,0,0,7,0,5,0,5,0
SuperApiForSensors,org.sas.security.auth_register,RegistrationRequest,24,0,0,0,10,0,7,0,7,0
SuperApiForSensors,org.sas,Application,12,0,0,0,4,0,2,0,2,0
SuperApiForSensors,org.sas.services,UserService,83,0,6,0,22,0,9,0,6,0
SuperApiForSensors,org.sas.dao,SensorDataDAO,178,0,18,0,41,0,15,0,6,0
SuperApiForSensors,org.sas.dao,HouseDAO,29,72,0,2,7,23,2,6,2,5
SuperApiForSensors,org.sas.dao,RoomDAO,28,72,0,2,7,23,2,6,2,5
SuperApiForSensors,org.sas.dao,SensorTypeDAO,65,0,0,0,20,0,5,0,5,0
SuperApiForSensors,org.sas.dao,SensorDAO,148,0,2,0,39,0,10,0,9,0
SuperApiForSensors,org.sas.dao,UserDAO,150,65,14,0,28,20,12,5,5,5
SuperApiForSensors,org.sas.responses,AuthResponse,20,0,0,0,7,0,4,0,4,0
SuperApiForSensors,org.sas.responses,HttpResponse,65,0,0,0,15,0,8,0,8,0
SuperApiForSensors,org.sas.model,Room,43,67,6,6,3,18,8,10,2,10
SuperApiForSensors,org.sas.model,SensorData,116,6,12,0,24,2,17,2,11,2
SuperApiForSensors,org.sas.model,User,73,91,8,8,8,23,11,14,3,14
SuperApiForSensors,org.sas.model,House,43,67,6,6,3,17,8,10,2,10
SuperApiForSensors,org.sas.model,SensorType,26,6,0,0,9,2,6,2,6,2
SuperApiForSensors,org.sas.model,Sensor,111,6,12,0,23,2,18,2,12,2
SuperApiForSensors,org.sas.exceptions.handlers,ExceptionController,13,0,0,0,2,0,2,0,2,0
